,N,k,alfa,tau,gamma,pH,Cw,Blanco,Beige
5,12,33.33,0.72007,0.085689,3.5704,11,3,1,0
6,30,13.33,0.90023,0.10712999999999999,8.9272,11,3,1,0
30,30,13.33,0.90023,0.10712999999999999,8.9272,5,3,1,0
32,6,66.66,0.60006,0.071407,1.7852,4,3,1,0
52,6,66.66,0.54005,0.064266,1.7852,10,3,0,1
53,12,33.33,0.48005,0.057125999999999996,3.5704,10,3,0,1
62,30,13.33,0.97524,0.11605,8.9272,8,3,0,1
66,30,13.33,0.90023,0.10712999999999999,8.9272,7,3,0,1
67,60,6.66,0.9009,0.10720999999999999,17.868,7,3,0,1
68,6,66.66,0.61506,0.073192,1.7852,6,3,0,1
70,30,13.33,0.97524,0.11605,8.9272,6,3,0,1
71,60,6.66,1.0511,0.12508,17.868,6,3,0,1
78,30,13.33,0.97524,0.11605,8.9272,4,3,0,1
82,30,13.33,1.0503,0.12498,8.9272,3,3,0,1
90,30,13.33,1.5754,0.18747,8.9272,12,12,1,0
103,60,6.66,1.6517,0.19655,17.868,9,12,1,0
104,6,66.66,1.8002,0.21422,1.7852,8,12,1,0
106,30,13.33,2.1755,0.25889,8.9272,8,12,1,0
108,6,66.66,1.2301,0.14637999999999998,1.7852,7,12,1,0
112,6,66.66,1.1701,0.13924,1.7852,6,12,1,0
114,30,13.33,1.3503,0.16069,8.9272,6,12,1,0
117,12,33.33,0.81008,0.0964,3.5704,5,12,1,0
120,6,66.66,0.9601,0.11425,1.7852,4,12,1,0
122,30,13.33,1.1253,0.13391,8.9272,4,12,1,0
123,60,6.66,1.2012,0.14294,17.868,4,12,1,0
128,6,66.66,0.91509,0.1089,1.7852,2,12,1,0
136,6,66.66,0.55506,0.066052,1.7852,11,12,0,1
138,30,13.33,0.82521,0.0982,8.9272,11,12,0,1
143,60,6.66,1.0511,0.12508,17.868,10,12,0,1
146,30,13.33,1.6504,0.1964,8.9272,9,12,0,1
147,60,6.66,1.5015,0.17868,17.868,9,12,0,1
150,30,13.33,1.9505,0.23210999999999998,8.9272,8,12,0,1
152,6,66.66,1.4701,0.17495,1.7852,7,12,0,1
153,12,33.33,1.4101,0.16781,3.5704,7,12,0,1
155,60,6.66,1.8018,0.21441,17.868,7,12,0,1
